activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
swimming,unprovoked,unknown,24.0,other,2023-05-14,usa,south carolina,"isle of palms, charleston county",F
surfing,unprovoked,white shark,46.0,fatal,2023-05-13,australia,south australia,elliston,M
other,unprovoked,bull shark,13.0,injured,2023-05-11,usa,florida,"fort pierce, st. lucie county",F
other,provoked,tiger shark,,other,2023-05-11,usa,hawaii,"kualoa, oahu",M
fishing,other,bull shark,,fatal,2023-05-09,cuba,mayabeque,puerto escondido,M
fishing,unprovoked,unknown,22.0,injured,2023-05-05,usa,florida,"davis reef, islamorada, monroe county",M
surfing,unprovoked,unknown,,injured,2023-05-03,south africa,easten cape province,"supertubes, jeffreys bay",M
other,unprovoked,unknown,39.0,injured,2023-05-01,south africa,easten cape province,mngcibe beach,M
swimming,unprovoked,other shark,,injured,2023-04-29,australia,western australia,"yallingup, busselton",M
diving,unprovoked,unknown,11.0,other,2023-04-29,australia,western australia,"kurrajong campground, exnouth",M
fishing,unprovoked,bull shark,,injured,2023-04-23,usa,florida,"anna maria island, manatee county",M
surfing,unprovoked,other shark,30.0,injured,2023-04-22,australia,western australia,lucy's beach,M
surfing,unprovoked,unknown,,injured,2023-04-11,usa,florida,"virginia key, monroe county",F
other,other,unknown,,no injury,2023-04-09,usa,florida,off boca raton. palm beach county,M
surfing,unprovoked,tiger shark,58.0,injured,2023-04-09,usa,hawaii,"kewalos, oahu",M
other,unprovoked,unknown,67.0,other,2023-03-25,usa,florida,"blue fish channel, key west, monroe county",M
fishing,provoked,unknown,17.0,injured,2023-03-25,cuba,artemisa,playa majana,M
swimming,unprovoked,unknown,,injured,2023-03-22,australia,western australia,delta island,M
swimming,unprovoked,other shark,60.0,other,2023-03-19,usa,hawaii,anaehoomalu bay,M
swimming,other,other,10.0,injured,2023-03-17,mexico,quintana roo,cancún,M
other,unprovoked,other shark,,unknown,2023-03-16,australia,western australia,cheynes beach,F
swimming,unprovoked,unknown,15.0,injured,2023-03-06,brazil,pernambuco,piedade beach,F
swimming,unprovoked,unknown,14.0,injured,2023-03-05,brazil,pernambuco,piedade beach,M
diving,unprovoked,other shark,6.0,injured,2023-03-02,seychelles,praslin island,,M
surfing,unprovoked,unknown,32.0,injured,2023-02-21,brazil,pernambuco,praia de milagres,M
swimming,unprovoked,bull shark,59.0,fatal,2023-02-19,new caledonia,south province,"château-royal beach , noumea",M
surfing,unprovoked,unknown,60.0,injured,2023-02-19,usa,florida,"jupiter island, martin county",M
other,other,unknown,32.0,other,2023-02-18,argentina,patagonia,chubut province,M
fishing,other,unknown,41.0,other,2023-02-17,fiji,taveuni island,ura estate,M
swimming,unprovoked,bull shark,16.0,fatal,2023-02-04,australia,western australia,freemantle,F
fishing,unprovoked,other shark,8.0,injured,2023-01-30,australia,queensland,lady musgrave island,M
swimming,unprovoked,bull shark,49.0,other,2023-01-29,new caledonia,south province,"chateau royal beach, noumea",M
swimming,unprovoked,unknown,34.0,injured,2023-01-08,usa,florida,"outer mole, fort zachrry tatlor historic park, key west, monroe county",M
other,unprovoked,unknown,53.0,fatal,2023-01-05,mexico,gulf of california,tobari bay,M
other,provoked,other shark,30.0,injured,2023-01-01,usa,florida,70 miles off pensacola,M
other,provoked,other shark,30.0,injured,,maldives,vaavu atoll,,F
other,provoked,other,26.0,injured,2022-12-30,south africa,knz,protea banks,M
swimming,unprovoked,other shark,68.0,other,2022-12-13,usa,hawaii,anaeho'imalu bay,M
swimming,unprovoked,unknown,15.0,injured,2022-12-11,australia,new south ales,killick creek near crescent head,M
diving,unprovoked,unknown,43.0,injured,2022-12-09,usa,samoa,pago pago harbor,M
diving,unprovoked,tiger shark,60.0,fatal,2022-12-08,usa,hawaii,"keawakapu point, kehei, maui",F
surfing,unprovoked,other,,injured,2022-12-07,usa,texas,,M
swimming,unprovoked,unknown,10.0,injured,2022-11-27,usa,florida,hobe sound,F
swimming,unprovoked,white shark,50.0,injured,2022-11-04,usa,california,"del mar beach, san diego county",F
fishing,provoked,unknown,29.0,injured,2022-11-03,usa,florida,"cape san blas, gulf county",M
surfing,unprovoked,unknown,,other,2022-10-31,usa,california,"otter point, pacific grove",M
fishing,other,unknown,40.0,injured,2022-10-28,usa,louisiana,25 mikes from empire,M
diving,unprovoked,unknown,,injured,2022-10-28,bahamas,,cat island,M
fishing,provoked,other shark,,injured,2022-10-27,usa,mississippi,horn island,M
diving,unprovoked,tiger shark,51.0,no injury,2022-10-25,usa,hawaii,kauai,M
surfing,unprovoked,other shark,19.0,no injury,2022-10-23,australia,south australia,seacliff,M
fishing,provoked,other shark,15.0,injured,2022-10-10,usa,florida,"key largo, monroe county",M
other,unprovoked,unknown,40.0,injured,2022-10-08,usa,louisiana,25 miles off empire,M
fishing,unprovoked,bull shark,38.0,injured,2022-10-07,australia,western  australia,port hedland,M
surfing,unprovoked,unknown,17.0,injured,2022-10-06,australia,victoria,"nun's beach, portland",M
surfing,unprovoked,white shark,31.0,injured,2022-10-02,usa,california,centerville beach,M
swimming,unprovoked,white shark,39.0,fatal,2022-09-25,south africa,western cape province,"central beach, plettenberg bay",F
fishing,unprovoked,other,26.0,injured,2022-09-22,usa,florida,"marathon, monroe county",M
diving,unprovoked,bull shark,58.0,fatal,2022-09-06,bahamas,,green cay,F
other,unprovoked,unknown,51.0,injured,2022-09-03,usa,hawaii,"lower paia beach park, maui",F
surfing,unprovoked,other,14.0,other,2022-08-31,australia,new south wales,avoca,M
other,unprovoked,white shark,,no injury,2022-08-17,australia,new south wales,coffs harbour,M
swimming,unprovoked,unknown,,injured,2022-08-15,usa,south carolina,"myrtle beach, horry county",F
swimming,unprovoked,other shark,,injured,2022-08-15,usa,south carolina,"myrtle beach, horry county",F
fishing,unprovoked,white shark,17.0,injured,2022-08-15,australia,westerm australia,goode beach,M
diving,unprovoked,bull shark,10.0,injured,2022-08-13,usa,florida,"looe key, monroe county",M
other,unprovoked,unknown,,no injury,2022-08-10,usa,california,"lovers point, pacific grove, monterey county",M
diving,unprovoked,other shark,,injured,2022-07-28,england,cornwall,penzance,F
other,unprovoked,other shark,13.0,injured,2022-07-27,usa,florida,"florida keys, monroe county",M
swimming,unprovoked,other shark,33.0,injured,2022-07-25,usa,florida,"daytona beach, volusia county",M
surfing,unprovoked,other shark,16.0,other,2022-07-20,usa,new york,"kismet beach, long island",M
other,other,unknown,,injured,2022-07-19,usa,florida,"cape canaveral, brevard county",
surfing,unprovoked,unknown,,injured,2022-07-19,usa,noirth carolina,"topsail beach, pender county",F
fishing,provoked,other shark,,injured,2022-07-17,usa,florida,"content keys, monroe county",M
other,unprovoked,other shark,40.0,injured,2022-07-16,usa,florida,"daytona beach shores, volusia county",F
other,unprovoked,unknown,49.0,injured,2022-07-13,usa,new york,"seaview beach, suffolk county",M
