activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
other,unprovoked,unknown,,fatal,1893-10-20,india,bay of bengal,madras harbor,M
other,other,unknown,,no injury,1893-10-16,croatia,primorje-gorski kotar county,"off volusca, opatija",
other,other,unknown,,fatal,1893-07-03,philippines,luzon island,off manila,M
other,unprovoked,unknown,,fatal,1893-06-22,nigeria,bayelsa state,mouth of the nun river,M
other,unprovoked,unknown,,fatal,1893-06-22,lebanon,,off tripoli,M
other,unprovoked,unknown,,fatal,1893-05-23,fiji,,between kadavu & beqa,F
other,unprovoked,unknown,,fatal,1893-05-17,cuba,havana province,havana harbor,M
other,unprovoked,unknown,,other,1893-04-15,south atlantic ocean,,,M
other,unprovoked,unknown,,injured,1893-04-14,australia,queensland,torres strait,M
other,other,other shark,,fatal,1893-04-04,australia,tasmania,"chimney point, george’s bay",M
swimming,unprovoked,unknown,,fatal,1893-01-30,new zealand,south island,downs river,M
other,unprovoked,unknown,,fatal,1893-01-18,french polynesia,,one week out of pápete,M
other,unprovoked,unknown,,unknown,,egypt,mediterranean sea,port said,
other,unprovoked,unknown,15.0,fatal,1892-12-15,atlantic ocean,,,M
fishing,unprovoked,unknown,,injured,1892-11-09,australia,norfolk island,,M
swimming,unprovoked,unknown,,other,1892-11-06,australia,queensland,"wellington point, brisbane",F
other,unprovoked,unknown,,injured,1892-09-16,usa,texas,velasco,M
other,other,unknown,,no injury,1892-06-24,france,brittany,brest,
other,unprovoked,unknown,,fatal,1892-06-20,cuba,havana province,havana harbor,M
swimming,unprovoked,unknown,,injured,1892-05-19,new zealand,north island,rockhampton,M
other,unprovoked,other shark,,fatal,1892-04-21,bahamas,out islands,,M
other,unprovoked,unknown,,other,1892-03-25,pacific ocean,,,M
fishing,provoked,other shark,21.0,injured,1892-03-02,australia,new south wales,lake macquarie,M
other,provoked,unknown,,fatal,,australia,torres strait,badu island,M
swimming,unprovoked,unknown,,other,1891-12-31,australia,new south wales,,M
other,unprovoked,unknown,,injured,1891-12-22,new zealand,north island,"manukau harbor, 6 miles south of auckland",M
other,unprovoked,unknown,,injured,1891-11-29,martinique,,fort de france,M
other,other,unknown,,fatal,1891-09-14,kiribati,line islands,flint island,
other,unprovoked,unknown,,fatal,1891-08-30,canada,nova scotia,off cape breton island,M
other,provoked,unknown,,injured,1891-08-29,usa,new jersey,"off longport, atlantic county",M
other,other,other shark,,fatal,1891-06-11,usa,virginia,hampton roads,M
other,unprovoked,unknown,,fatal,1891-03-10,paraguay,,,
other,unprovoked,unknown,,fatal,1891-01-08,jamaica,kingston parish,port royal harbour,M
other,other,other shark,,fatal,1890-12-30,australia,queensland,moreton bay,
other,unprovoked,unknown,18.0,injured,1890-12-27,british new guinea,woodlark islands,off panamota,M
other,unprovoked,unknown,,fatal,1890-10-25,atlantic ocean,,,M
other,provoked,other shark,,no injury,1890-08-17,usa,new jersey,"off normandie-by-the-sea, monmouth county",
other,unprovoked,unknown,,injured,1890-08-09,usa,connecticut,"bridgeport, fairfield county",M
swimming,unprovoked,unknown,,other,1890-08-08,samoa,upolu island,apia harbour,M
swimming,unprovoked,unknown,,other,,croatia,,fiume,M
other,unprovoked,unknown,,injured,1890-06-14,persian gulf,,,M
swimming,unprovoked,unknown,,fatal,1890-06-02,egypt,,port said,M
other,other,unknown,,other,1890-05-14,south africa,eastern cape province,port elizabeth,M
diving,other,unknown,,fatal,1890-03-03,ceylon,,,M
other,other,unknown,,fatal,1890-02-25,malta,munxar reef,marsascala,M
swimming,unprovoked,other shark,,injured,,australia,tasmania,derwent river (empties into the sea at hobart),M
diving,unprovoked,unknown,,unknown,,india,tamil nadu,tuticorin,M
diving,unprovoked,unknown,,unknown,,india,tamil nadu,tuticorin,M
swimming,unprovoked,unknown,,fatal,,new zealand,north island,"lampton harbour, wellington",M
swimming,unprovoked,unknown,,fatal,,south africa,kwazulu-natal,cape vidal,M
other,other,other shark,,other,1889-11-29,greece,northern peloponnese,patras,
other,unprovoked,unknown,,fatal,1889-11-22,australia,queensland,bowen,M
other,other,other shark,,other,1889-11-16,usa,hawaii,honolulu,M
swimming,unprovoked,unknown,,fatal,1889-10-03,india,tamil nadu,madras,M
swimming,unprovoked,unknown,,fatal,1889-07-21,usa,florida,"fernandina, nassau county",M
fishing,unprovoked,other shark,,injured,1889-07-19,usa,texas,west bay near galveston,M
other,unprovoked,unknown,,fatal,1889-07-08,australia,victoria,port phillip,M
fishing,provoked,unknown,,no injury,1889-01-31,usa,florida,hillsborough bay,
other,unprovoked,unknown,,fatal,,sierra leone,western area,freetown,M
swimming,unprovoked,unknown,,other,1888-12-25,indian ocean,between perth & colombo,,M
swimming,unprovoked,unknown,11.0,fatal,1888-12-09,australia,new south wales,"iron cove bridge, sydney (estuary)",M
other,unprovoked,unknown,,fatal,,australia,new south wales,"hawkesbury bridge, sydney",M
other,unprovoked,other shark,,other,1888-10-23,croatia,primorje-gorski kotar county,rijeka,
other,other,unknown,,fatal,1888-08-14,canada,nova scotia,off sable island,M
other,other,unknown,,no injury,1888-08-01,usa,new york,,
other,other,other shark,,other,1888-07-20,jamaica,,,M
other,other,unknown,,fatal,1888-07-13,india,gujarat,cutch coast,M
other,other,other shark,,other,1888-07-04,croatia,lukovo,,
fishing,other,unknown,,no injury,1888-06-24,australia,victoria,port melbourne,
other,other,other shark,,other,1888-06-18,australia,victoria,"point cook, port phillip bay",M
other,unprovoked,other shark,,other,1888-02-17,new zealand,south island,oamaru,M
other,unprovoked,unknown,,fatal,,south africa,eastern cape province,mzimvubu river mouth,M
other,other,unknown,,no injury,1888-01-22,australia,new south wales,sydney harbor,M
other,unprovoked,unknown,,injured,,libya,mediterranean sea,off tripoli,M
other,unprovoked,unknown,33.0,fatal,1887-12-22,honduras,cortés,off puerto cortez (caribbean coast),M
other,unprovoked,other shark,,fatal,1887-12-04,australia,new south wales,"ryde, sydney (estuary)",M
other,unprovoked,unknown,,fatal,1887-10-18,usa,florida,"between lake worth & biscayne bay, near hillsboro",M
other,other,unknown,,fatal,,bahamas,,,M
other,other,other shark,,other,1887-09-11,croatia,primorje-gorski kotar county,kraljevica,
swimming,unprovoked,unknown,,injured,1887-09-22,italy,,trieste,M
other,other,unknown,,fatal,1887-07-30,,gulf of california,,M
other,other,other shark,,no injury,1887-03-12,australia,south australia,black point,
swimming,unprovoked,unknown,,fatal,1887-02-08,new zealand,north island,kaipara,M
other,provoked,other shark,,other,1887-02-08,south africa,western cape province,blaauwberg,
other,other,unknown,,fatal,1887-01-20,brazil,alagoas,maceió,M
swimming,unprovoked,unknown,13.0,fatal,1887-01-12,south africa,eastern cape province,"mzimvubu river, 9.6 km from the sea",M
other,other,unknown,,other,,ocean,"somewhere between philadelphia and hiogo, japan",,M
other,other,other shark,,other,,usa,new jersey,"shrewsbury river, highlands, monmouth county",M
other,provoked,unknown,,no injury,,usa,new jersey,"sandy hook bay, highlands, monmouth county",
other,other,other shark,,no injury,,usa,new jersey,"shrewsbury river, highlands, monmouth county",M
swimming,unprovoked,unknown,45.0,injured,1886-07-10,usa,mississippi,"pass christian, hamilton county",M
other,unprovoked,unknown,18.0,fatal,1886-06-17,australia,queensland,off bribie heads,M
other,other,other shark,,injured,1886-06-02,usa,hawaii,"hamakua homakua, hawai'i",F
swimming,unprovoked,unknown,,fatal,1886-05-06,new caledonia,south province,noumea,M
other,unprovoked,unknown,,injured,1886-04-26,australia,queensland,rothesay bay,M
other,other,other shark,,other,1886-04-11,new zealand,south island,near the mouth of the clarence river,M
swimming,other,unknown,,other,1886-03-06,new zealand,south island,dunedin,M
other,other,other shark,,other,,australia,new south wales,"dobroyd head, watson bay, sydney",M
fishing,other,unknown,,no injury,1886-02-13,australia,victoria,mordialloc,M
other,unprovoked,unknown,,injured,1886-01-28,south africa,eastern cape province,"south jetty, port elizabeth",M
other,unprovoked,unknown,,injured,1886-01-26,australia,queensland,,M
swimming,unprovoked,unknown,,fatal,1886-01-01,south africa,western cape province,groot river,M
other,unprovoked,unknown,,other,,australia,new south wales,sydney harbor,M
other,other,other shark,,no injury,1885-11-26,australia,queensland,brisbane,
swimming,unprovoked,unknown,,injured,1885-11-26,australia,western australia,bunbury,M
other,unprovoked,unknown,,fatal,1885-08-17,atlantic ocean,,,M
other,other,unknown,,other,1885-07-26,usa,hawaii,kau district,M
other,other,unknown,,injured,1885-07-26,usa,hawaii,kau district,M
other,other,unknown,,fatal,1885-07-26,usa,hawaii,kau district,M
swimming,unprovoked,unknown,,fatal,1885-04-16,,,,M
swimming,unprovoked,unknown,,injured,1885-04-09,new zealand,north island,auckland,M
fishing,unprovoked,other shark,,no injury,1885-03-28,south africa,kwazulu-natal,kokstad district,M
other,other,other shark,,other,1884-12-13,australia,south australia,port phillip,M
other,provoked,other shark,,fatal,1884-12-08,france,côte d'azur,between nice & villefranche,F
other,unprovoked,unknown,,injured,1884-08-28,usa,new jersey,"bayonne, hudson county",M
other,other,unknown,,injured,1884-08-18,usa,new york,jamaica bay,M
other,unprovoked,unknown,,fatal,1884-04-28,brazil,,bahia,M
swimming,unprovoked,unknown,,fatal,1884-01-16,south africa,eastern cape province,"south jetty, port elizabeth",M
other,unprovoked,other shark,,fatal,1884-01-14,australia,south australia,"port pirie, spencer gulf, 230 km north of adelaide",F
swimming,unprovoked,unknown,21.0,fatal,1883-12-19,australia,new south wales,parramatta river,M
other,unprovoked,unknown,,fatal,1883-12-18,usa,texas,brazos,M
other,unprovoked,unknown,,fatal,1883-10-20,uruguay,maldonado coast,,M
other,unprovoked,unknown,,fatal,1883-10-19,usa,east coast,,M
other,unprovoked,unknown,,fatal,1883-09-14,australia,tasmania,between port arthur penal colony & forestier peninsula,M
other,provoked,other shark,,injured,1883-07-05,georgia,,"savannah river, chatham county",M
diving,unprovoked,unknown,,other,1883-02-26,australia,northern territory,the pearling beds,M
diving,unprovoked,unknown,,fatal,1883-02-25,australia,northern territory,the pearling beds,M
swimming,unprovoked,unknown,37.0,fatal,1883-01-21,australia,new south wales,"iron cove, sydney",M
fishing,unprovoked,other shark,,fatal,,pacific ocean,,,M
other,unprovoked,unknown,,fatal,,usa,florida,"fort pickens, escambia county",M
other,other,other shark,,other,,usa,south carolina,"bull’s bay, near charleston",M
other,unprovoked,other shark,,fatal,,usa,south carolina,,M
other,provoked,other shark,,other,1882-12-03,new zealand,south island,new brighton,M
swimming,unprovoked,unknown,,injured,1882-11-12,new zealand,north island,"tararu, thames",M
swimming,unprovoked,unknown,,injured,1882-11-12,new zealand,north island,"tararu, thames",M
other,unprovoked,unknown,,injured,,japan,,,M
other,unprovoked,unknown,,injured,1882-05-14,australia,new south wales,millers point,M
diving,unprovoked,unknown,,fatal,1882-05-12,australia,,,M
fishing,unprovoked,unknown,,fatal,1882-04-15,australia,new south wales,lake macquarie,M
diving,unprovoked,unknown,,fatal,1882-02-07,australia,,,M
swimming,unprovoked,unknown,,fatal,1882-01-23,australia,new south wales,"darling harbor, sydney",M
other,unprovoked,unknown,,fatal,,atlantic ocean,,,M
other,unprovoked,unknown,,no injury,,usa,florida,"in the bay near the naval yard at pensacola, escambia county",M
other,unprovoked,unknown,,injured,,australia,queensland,maryborough,M
swimming,other,other shark,,other,1881-11-13,australia,new south wales,"johnstone's bay, sydney",M
swimming,other,other shark,18.0,fatal,1881-10-16,usa,florida,"pensacola bay, escambia county",M
swimming,unprovoked,unknown,,fatal,1881-09-05,usa,north carolina,"elizabeth city, pasquotank county",M
other,unprovoked,unknown,20.0,fatal,1881-08-16,,western banks,,M
swimming,unprovoked,unknown,,no injury,1881-08-12,usa,rhode island,providence,M
swimming,unprovoked,unknown,,injured,1881-07-25,,,santa cruz,M
other,unprovoked,unknown,23.0,fatal,1881-06-13,usa,alabama,mobile bay,M
other,unprovoked,unknown,,fatal,,india,,"at panihattu, barrackpore, dackhineshwar, barahonagore, kashipur & chitpur down to baug bazar ghats",
other,other,white shark,,fatal,,italy,sicily,stretto di messina,M
swimming,unprovoked,bull shark,12.0,fatal,1880-11-25,australia,queensland,"petrie bight, brisbane river",M
other,other,unknown,,other,1880-10-10,australia,new south wales,bermagui,M
other,unprovoked,unknown,,fatal,1880-08-08,mozambique,,,M
other,other,other shark,,no injury,1880-07-25,usa,new york,the narrows,M
other,unprovoked,unknown,20.0,injured,1880-05-15,india,west bengal,ganges river,M
other,unprovoked,unknown,60.0,other,1880-05-14,india,west bengal,hoogly river,F
other,other,other shark,,other,1880-05-07,mexico,guerro,acapulco,M
other,unprovoked,unknown,,fatal,1880-05-02,india,west bengal,(calcutta),M
swimming,unprovoked,unknown,11.0,fatal,1880-05-02,india,west bengal,"panihati, 4 miles south of barrackpore on the hoogly river",M
fishing,other,other shark,,no injury,1880-01-22,australia,new south wales,"chowder bay, sydney",
swimming,unprovoked,unknown,13.0,injured,1880-01-03,australia,new south wales,cooranbong,F
other,other,other shark,,fatal,,syria,,,M
other,other,unknown,,other,,usa,florida,"hutchinson island, martin county",M
other,unprovoked,unknown,,injured,,solomon islands,guadalcanal province,guadalcanal,M
other,unprovoked,unknown,,other,,new zealand,south island,campbell’s point,M
swimming,unprovoked,other shark,23.0,fatal,1879-12-24,india,andaman islands,port blair,M
swimming,unprovoked,unknown,,injured,1879-11-10,australia,new south wales,clarence heads,M
fishing,provoked,other shark,,injured,1879-09-22,spain,valencia,castellon de la plana,
other,other,unknown,,injured,1879-08-30,fiji,lau group,totoya,M
swimming,unprovoked,unknown,,unknown,1879-07-03,usa,california,"los angeles, los angeles county",M
swimming,unprovoked,unknown,19.0,fatal,1879-03-19,new zealand,north island,napier,M
other,other,other shark,,other,1879-03-10,australia,new south wales,near sydney,M
other,unprovoked,tiger shark,,fatal,,usa,mississippi,river mouth,M
swimming,unprovoked,other shark,,injured,1878-11-17,australia,new south wales,"lane cove river, sydney harbor",M
swimming,unprovoked,other shark,22.0,fatal,1878-10-24,indonesia,east java,probolinggo,M
other,unprovoked,unknown,,fatal,1878-10-13,,,,M
fishing,provoked,unknown,,injured,1878-09-14,usa,connecticut,"branford, new haven county",M
other,other,unknown,,injured,1878-09-02,south atlantic ocean,off the coast of west africa,,M
other,other,unknown,,fatal,1878-09-02,south atlantic ocean,off the coast of west africa,,M
swimming,unprovoked,other shark,,fatal,1878-08-09,usa,new york,east river,M
swimming,unprovoked,unknown,14.0,fatal,1878-08-08,usa,new york,brooklyn,M
other,unprovoked,unknown,,fatal,1978-06-10,philippines,misamis oriental,cagayan de oro,F
other,unprovoked,unknown,,injured,1878-03-30,new guinea,,,M
other,other,unknown,,fatal,1878-02-13,south africa,western cape province,olifantbos point,M
other,other,unknown,,fatal,1878-02-02,brazil,,,M
other,unprovoked,unknown,11.0,fatal,,australia,new south wales,"balmain, sydney (estuary)",M
other,other,unknown,,fatal,1877-12-15,fiji,,,
swimming,unprovoked,unknown,11.0,injured,1877-12-15,australia,new south wales,"peacock point, balmain, sydney",M
other,unprovoked,unknown,,fatal,1877-12-12,australia,new south wales,near sydney,M
fishing,unprovoked,other shark,,no injury,1877-09-15,australia,new south wales,port jackson,M
other,other,other shark,,other,1877-08-28,indian ocean,,,M
other,provoked,other shark,,injured,1877-04-07,australia,tasmania,smelting works bay near hobart,M
swimming,unprovoked,unknown,,injured,1877-04-04,australia,victoria,portarlington,M
other,unprovoked,unknown,,other,1877-03-16,italy,strait of messina,off calabria,M
other,unprovoked,unknown,15.0,injured,1877-03-11,fiji,viti levu island,"na koro vatu, rewa river",M
fishing,unprovoked,unknown,,injured,1877-02-17,australia,victoria,off melbourne,M
swimming,unprovoked,unknown,,fatal,1877-01-28,australia,victoria,emerald hill,M
swimming,unprovoked,other shark,,injured,1877-01-24,australia,victoria,boarding school bay,F
other,other,other shark,,injured,1877-01-04,south africa,kwazulu-natal,durban,M
other,unprovoked,unknown,,injured,,india,hoogly river,near calcutta,M
fishing,unprovoked,unknown,,fatal,1876-10-13,usa,new york,,M
other,unprovoked,unknown,,fatal,1876-09-07,greece,cyclades archipelago,between the islands of tenos and andros,M
swimming,unprovoked,unknown,,injured,1876-06-04,usa,georgia,cumberland island,M
swimming,unprovoked,unknown,,fatal,1876-05-14,australia,new south wales,sydney harbour,M
swimming,unprovoked,unknown,,fatal,1876-02-06,australia,victoria,albert park in port phillip bay,M
other,unprovoked,unknown,,fatal,,lebanon,mount lebanon,batroun,M
other,unprovoked,other shark,,other,,england,"between hastings & fairlight, sussex",,M
diving,unprovoked,unknown,,injured,,australia,western australia,between de grey river and port walcott,M
other,unprovoked,unknown,,fatal,,australia,new south wales,sydney,M
fishing,unprovoked,unknown,,other,1875-11-27,australia,new south wales,clarence heads,M
other,other,unknown,,other,1875-08-10,south africa,kwazulu-natal,"back beach, durban",
swimming,unprovoked,unknown,3.0,fatal,1875-03-03,new zealand,north island,tauranga,M
swimming,other,unknown,,injured,1875-01-20,australia,queensland,mary river,M
other,unprovoked,tiger shark,,injured,1874-11-30,australia,western australia,gascoyne,M
swimming,unprovoked,other shark,,injured,1874-11-21,australia,queensland,maryborough,M
other,unprovoked,unknown,,fatal,,australia,western australia,sharks bay,M
fishing,other,unknown,,no injury,1874-11-14,croatia,zadar county,"lika-senj, pag island",
fishing,other,unknown,,no injury,1874-07-23,france,,,
fishing,unprovoked,unknown,,other,1874-07-15,usa,hawaii,waikiki,M
swimming,unprovoked,other shark,,injured,1874-07-15,usa,new york,coney island,M
swimming,unprovoked,unknown,,fatal,1874-06-18,mexico,veracruz,"tlacotalpan, vera cruz",M
other,unprovoked,unknown,,fatal,1874-06-15,kiribati,gilbert islands,beru,M
other,unprovoked,unknown,,injured,1874-06-15,,,,M
other,other,unknown,,fatal,,honduras,,mouth of the ullua river,M
fishing,other,white shark,,other,1874-04-20,canada,newfoundland,st. pierre bank,M
other,other,unknown,,injured,,tuvalu,,between nanumea & nanumaga atolls,
swimming,unprovoked,unknown,,injured,1874-01-09,australia,new south wales,"darling harbor, sydney",M
other,provoked,unknown,,injured,1873-07-28,usa,maryland,chester river,M
swimming,other,other shark,,fatal,1873-06-09,australia,new south wales,newcastle,M
swimming,unprovoked,other shark,,injured,1873-01-09,australia,queensland,white cliffs,M
other,unprovoked,unknown,27.0,injured,,cuba,havana province,havana harbor,M
other,unprovoked,unknown,,fatal,1872-11-30,indian ocean,,,M
other,other,unknown,,no injury,1872-11-24,azores,,,M
other,other,unknown,,fatal,1872-10-10,bahamas,abaco islands,,M
fishing,other,unknown,,no injury,1872-08-07,croatia,,fiume,M
other,unprovoked,unknown,,injured,1872-04-03,usa,hawaii,kawahae,M
other,other,unknown,,fatal,1872-02-26,australia,queensland,bramble reef,
other,other,other shark,,other,1872-01-28,fiji,lomaiviti provine,"levuka point, ovalau island",M
other,other,unknown,,injured,,south atlantic ocean,off the coast of south america,,M
other,other,other shark,,other,1871-12-11,australia,new south wales,hawkesbury river,M
fishing,unprovoked,unknown,,other,1871-08-29,usa,hawaii,,M
other,provoked,unknown,,injured,,usa,new york,long island,M
swimming,unprovoked,unknown,,injured,1871-05-22,sri lanka,eastern province,trincomalee,M
other,other,unknown,,fatal,1871-05-13,guyana,,demerara,M
swimming,unprovoked,unknown,30.0,fatal,1871-03-24,india,"22ºn, 88ºe",hoogly river at multah,M
other,unprovoked,unknown,,fatal,,australia,new south wales,manning river,M
other,unprovoked,unknown,,injured,,australia,queensland,brisbane river,M
fishing,unprovoked,other,,other,,australia,new south wales,jervis bay & long reef,M
swimming,unprovoked,unknown,,injured,1870-07-27,usa,north carolina,"smithville (now southport), brunswick county",M
swimming,unprovoked,unknown,40.0,injured,1870-06-19,india,"22ºn, 88ºe","calcutta, hoogly river at  one of the ghats",M
other,unprovoked,unknown,40.0,injured,1870-06-01,india,west bengal,"hoogly river, calcutta",M
fishing,unprovoked,unknown,13.0,injured,1870-05-26,australia,queensland,moreton island,M
swimming,unprovoked,unknown,39.0,other,1870-05-18,india,"22ºn, 88ºe","hatkolah, ghat,",M
swimming,unprovoked,unknown,40.0,other,1870-05-11,india,"22ºn, 88ºe",near sobah bazar,M
swimming,unprovoked,unknown,17.0,injured,1870-01-09,australia,queensland,brisbane river,M
other,other,unknown,,fatal,,australia,tasmania,derwent river,M
other,unprovoked,tiger shark,,injured,1869-04-15,australia,south australia,cape elizabeth,M
other,other,other shark,,fatal,1869-04-10,,,,M
other,unprovoked,white shark,,fatal,1868-09-01,italy,adriatic sea,trieste,M
swimming,unprovoked,other,35.0,fatal,1868-05-13,india,hoogly river,ghat,M
other,other,unknown,,fatal,1868-01-17,vietnam,,cohong,M
fishing,other,unknown,,no injury,1868-01-04,australia,south australia,belfast (now port fairy),
swimming,unprovoked,unknown,,fatal,,australia,torres strait,south aroo island,M
other,unprovoked,other shark,,injured,,new zealand,north island,"brickfield bay, auckland harbour",M
swimming,unprovoked,unknown,,fatal,1867-08-22,egypt,,port said,M
other,unprovoked,unknown,,fatal,,mexico,veracruz,vera cruz harbor,M
other,other,unknown,,fatal,1867-06-26,cuba,villa clara province,remedios,M
other,other,unknown,,no injury,1867-01-26,australia,victoria,queenscliff,
other,unprovoked,unknown,,fatal,,cuba,matanzas province (north coast),matanzas,M
swimming,unprovoked,unknown,,fatal,1866-07-09,usa,alabama,mobile bay,M
other,other,other shark,,other,1866-04-24,australia,western australia,off de grey river,M
other,unprovoked,unknown,17.0,injured,1865-09-02,usa,new york,"greenport sound, long island",M
swimming,unprovoked,unknown,,fatal,1865-07-14,usa,texas,brazos,M
fishing,other,unknown,,fatal,1865-03-01,south africa,western cape province,st. helena bay,M
other,other,unknown,,no injury,,australia,south australia,semaphore,
other,other,unknown,,fatal,1864-10-02,usa,north carolina,"cedar island, carteret county",M
other,provoked,other shark,,injured,1864-09-18,france,alpes maritime,antibes,M
other,unprovoked,other shark,,injured,,scotland,edinburgh,granton,M
swimming,unprovoked,unknown,13.0,injured,1864-08-12,usa,new york,mahattan,M
other,unprovoked,unknown,,fatal,,madagascar,,,M
swimming,unprovoked,unknown,,fatal,1864-07-25,spain,eastern catalona,badalona,M
other,unprovoked,unknown,,fatal,,mauritius,300 miles east of mauritius,,M
swimming,unprovoked,unknown,,no injury,1864-04-09,china,,macao harbor,M
other,unprovoked,unknown,,fatal,,mauritius,,,M
other,unprovoked,unknown,,fatal,1864-01-27,panama,colón province,aspinwall (colón),M
other,unprovoked,unknown,,fatal,1864-01-16,new zealand,foveaux strait,stewart island,M
other,unprovoked,unknown,,injured,1864-01-02,new zealand,north island,"brickfield bay, auckland harbour",M
other,unprovoked,unknown,,fatal,,indonesia,sumatra,off acheen head,M
swimming,other,other shark,,fatal,,australia,south australia,"corio bay, port phillip",M
other,unprovoked,unknown,18.0,fatal,1863-12-14,guinea,conakry region,ile de loss,M
swimming,unprovoked,unknown,,other,1863-09-13,usa,south carolina,"stono inlet, near charleston, charleston county",M
fishing,provoked,unknown,,other,1863-07-09,usa,hawaii,palama,M
other,unprovoked,other shark,,fatal,,australia,queensland,caloundra heads,M
other,unprovoked,unknown,,injured,1863-03-05,australia,victoria,brighton,M
other,other,other shark,26.0,other,1863-02-05,south africa,kwazulu-natal,"back beach, durban",M
swimming,unprovoked,unknown,17.0,fatal,1863-01-10,australia,new south wales,"""bellynahinch"" on the manning river",M
other,unprovoked,unknown,,fatal,,andaman islands,,,M
other,unprovoked,unknown,,fatal,,ceylon,,,M
other,unprovoked,unknown,,fatal,,ceylon,,,M
swimming,unprovoked,unknown,,fatal,,greece,corfu,,M
swimming,unprovoked,unknown,28.0,injured,1862-12-22,new zealand,north island,"soldier's point, brick bay, auckland",M
other,unprovoked,unknown,,fatal,1862-12-19,australia,queensland,brisbane river,M
other,other,unknown,,unknown,1862-12-04,new zealand,south island,lyttleton,
swimming,unprovoked,unknown,,injured,1862-08-15,spain,,a spanish port,F
other,other,other shark,,other,1862-08-02,spain,malaga,fuengirola,M
swimming,unprovoked,unknown,18.0,fatal,1862-07-25,spain,malaga,san andres beach,M
other,unprovoked,other shark,18.0,fatal,1862-07-14,spain,cádiz,off algeciras,M
other,unprovoked,other shark,,fatal,1862-07-13,spain,cádiz,off algeciras,M
other,unprovoked,unknown,,other,1862-06-03,south africa,kwazulu-natal,durban harbor,M
swimming,unprovoked,unknown,,injured,1862-05-05,south africa,kwazulu-natal,durban,M
other,unprovoked,unknown,,injured,,usa,hawaii,puna,F
other,unprovoked,unknown,,fatal,,japan,bonin islands,,M
other,unprovoked,unknown,,fatal,1861-11-10,singapore,,,M
other,unprovoked,unknown,,injured,1861-09-25,cuba,,60 miles off trinidad de cuba,M
swimming,unprovoked,unknown,,injured,,new zealand,north island,"wynyard wharf, auckland harbor",M
swimming,unprovoked,unknown,,fatal,1861-02-12,equatorial guinea / cameroon,fernando po island,,M
swimming,unprovoked,unknown,,injured,1861-01-15,australia,queensland,cleveland,M
swimming,unprovoked,unknown,,injured,1860-12-26,australia,new south wales,"the domain, sydney",M
other,other,unknown,,fatal,,canada,nova scotia,cape canso,M
swimming,unprovoked,unknown,,other,1860-08-01,usa,new york,brooklyn,M
swimming,unprovoked,unknown,,injured,,new zealand,north island,"princes wharf, auckland harbor",M
swimming,unprovoked,other shark,,fatal,,new zealand,north island,"st. george's bay, auckland harbor",M
other,other,unknown,,other,1860-03-27,cook islands,mangaia island,,M
other,unprovoked,other shark,,fatal,1860-03-11,bahamas,new providence island,nassau,M
other,unprovoked,unknown,21.0,fatal,1859-03-16,usa,hawaii,off kawaihae,M
swimming,other,other shark,,other,1858-08-23,usa,new york,"staten island, richmond county",M
swimming,other,other shark,,other,1858-08-17,usa,new york,"staten island, richmond county",M
swimming,unprovoked,unknown,,injured,1858-04-04,tobago,,rocky bay,M
swimming,unprovoked,unknown,22.0,fatal,1858-03-14,australia,victoria,hobson bay,M
swimming,unprovoked,unknown,,fatal,1858-01-14,usa,hawaii,,M
other,unprovoked,unknown,,fatal,1858-01-09,tonga,vava'u,,M
swimming,unprovoked,unknown,,fatal,1857-05-05,usa,florida,"cape sable, monroe county",M
swimming,unprovoked,unknown,,fatal,1856-11-25,fiji,,,M
swimming,unprovoked,unknown,22.0,fatal,1856-11-20,,,,M
swimming,unprovoked,unknown,,injured,1856-06-21,england,isle of wight,colwell bay,M
swimming,unprovoked,unknown,17.0,injured,1856-02-06,australia,victoria,point henry,M
swimming,unprovoked,unknown,,fatal,1855-11-11,australia,victoria,melbourne,M
other,other,unknown,,injured,1855-09-30,usa,north carolina,cape hatteras,M
swimming,unprovoked,unknown,,fatal,1855-07-28,,,,M
other,unprovoked,unknown,,fatal,1855-04-09,australia,south australia,port wakefield,F
other,unprovoked,unknown,,fatal,1855-03-28,australia,south australia,port wakefield,M
swimming,unprovoked,unknown,,fatal,1855-02-12,solomon islands,makira-ulawa province,makira island (formerly san cristobal),M
swimming,other,unknown,,no injury,,australia,new south wales,sydney harbor,M
swimming,unprovoked,unknown,,injured,1853-11-08,australia,new south wales,,M
other,unprovoked,white shark,,no injury,,usa,north carolina,"morehead, carteret county",M
swimming,unprovoked,tiger shark,,fatal,1853-07-13,usa,south carolina,"charleston harbor, charleston county",M
swimming,unprovoked,other shark,,other,1853-04-29,greece,corfu,,M
other,unprovoked,unknown,,fatal,,australia,queensland,moreton bay,M
other,unprovoked,white shark,,no injury,,usa,north carolina,"morehead, carteret county",M
other,other,other shark,,other,,usa,south carolina,off the battery,M
other,unprovoked,unknown,,fatal,,usa,florida,"near fernandina bar, nassau county",M
swimming,other,other shark,,other,1852-12-19,australia,new south wales,"clark's island, sydney harbor",M
fishing,provoked,unknown,,injured,1852-10-23,pacific ocean,between australia & usa,,M
other,unprovoked,unknown,,fatal,1852-10-09,australia,new south wales,coalcliff,M
other,unprovoked,unknown,,fatal,1852-08-07,tonga,tongatapu,,M
swimming,unprovoked,unknown,,fatal,,usa,virginia,norfolk,M
